6
Слово;Тип;Тип;Тип;Вывод
лицу;local;local;local;Local
волосам;local;local;local;Local
голове;local;local;local;Local
лбу;local;local;local;Local
руке;local;local;local;Local
сумке;local;local;local;Local
щеке;local;local;local;Local
глазам;local;local;local;Local
столу;local;local;local;Local
рулю;local;local;local;Local
книге;local;local;local;Local
ноге;local;local;local;Local
лицу;local;local;local;Local
прудах;local;local;global;Local
вечер;local;global;local;Local
стемнело;local;global;local;Local
пустынно;local;local;local;Local
прудахзеленоватая;local;dep;global;Dep
утро;local;local;local;Local
дождь;local;local;local;Local
пробка;local;local;local;Local
никого;local;local;local;Local
холодно;local;local;local;Local
сумерки;local;global;local;Local
садах;local;local;local;Local
ночь;local;global;global;Global
пруд;local;dep;global;Local
солнечно;local;local;local;Local
почернела;local;global;global;Global
прозрачная;local;local;local;Local
чистая;local;local;local;Local
спокойная;local;local;local;Local
холодная;local;local;local;Local
потемнела;local;global;global;Global
блестела;local;local;local;Local
качалась;local;local;local;Local
грязная;local;local;local;Local
рябила;local;local;local;Local
зеленоватая;local;local;local;Local
безупречная;local;local;local;Local
успокоилась;local;local;local;Local
спокойна;local;local;local;Local
застыла;local;local;local;Local
двигалась;local;local;local;Local
была;local;local;local;Local
зеленела;local;local;local;Local
тихая;local;local;local;Local
волновалась;local;local;local;Local
текла;local;local;local;Local
воды;local;local;local;Local
весел;local;global;local;Local
весла;local;global;local;Local
волн;local;local;local;Local
рыбок;local;local;local;Local
уток;local;local;local;Local
девушки;local;local;local;Local
дамы;local;local;global;Local
гражданки;local;global;global;Global
девочки;local;local;local;Local
парочки;local;local;local;Local
барышни;local;local;global;Local
гражданин;local;dep;local;Local
парочкилавочках;dep;dep;global;Dep
мальчика;dep;dep;local;Dep
девченки;local;local;local;Local
мадам;local;local;local;Local
компании;local;local;local;Local
девушке;local;dep;local;Local
понятной;local;dep;local;Local
дамочки;local;local;global;Local
штуки;local;local;local;Local
смех;dep;dep;local;Dep
скамейках;local;local;local;Local
патриарших;local;global;global;Global
деревьях;local;local;local;Local
бульваре;local;local;global;Local
берегу;local;local;global;Local
лавочках;local;local;global;Local
траве;local;local;local;Local
берегах;local;local;global;Local
проспекте;local;local;local;Local
окраине;local;local;local;Local
парковой;local;local;global;Local
дорожке;local;local;local;Local
пруду;local;global;global;Global
пригорке;local;local;local;Local
тротуаре;local;local;local;Local
прудах;local;global;global;Global
скамейке;local;local;global;Local
горизонте;local;local;local;Local
чистых;local;global;global;Global
дорожках;local;local;local;Local
клумбах;local;local;local;Local
кустах;local;local;local;Local
тррпинке;local;local;local;Local
публика;local;global;global;Global
тень;local;local;local;Local
дымка;local;local;local;Local
листва;local;local;local;Local
толпа;local;global;local;Local
она;local;local;local;Local
картинка;local;local;local;Local
луна;local;local;local;Local
парочки;local;dep;global;Dep
листочки;local;dep;local;Local
клумба;local;local;local;Local
наледь;local;local;local;Local
пара;local;local;local;Local
компания;local;local;local;Local
роса;local;local;local;Local
суета;local;local;local;Local
девушка;local;local;local;Local
грусть;local;local;local;Local
машина;local;local;local;Local
изморозь;local;local;local;Local
мгла;local;local;local;Local
беседка;local;global;local;Local
газетка;local;global;local;Local
ягода;local;local;local;Local
квадрата;local;global;local;Local
парка;local;global;global;Global
пруда;local;global;global;Global
улицы;local;local;local;Local
света;local;local;local;Local
озера;local;local;global;Local
картинки;local;local;local;Local
лодки;local;global;global;Global
аллеи;local;local;global;Local
кроны;local;local;local;Local
мало;local;dep;local;Local
грязь;local;dep;local;Local
бульвара;local;local;global;Local
никого;local;local;local;Local
тропы;local;local;local;Local
тень;local;dep;local;Local
перекрёстка;local;local;local;Local
видно;local;local;local;Local
роса;local;dep;local;Local
улицы;local;global;local;Local
скамьи;local;global;global;Global
однако;local;dep;local;Local
стола;local;local;local;Local
луна;local;global;local;Local
темнота;local;local;local;Local
лану;local;global;local;Local
туча;local;local;local;Local
белизна;local;local;local;Local
серость;local;local;local;Local
рябь;local;local;local;Local
пустота;local;local;local;Local
желтая;local;global;local;Local
золотая;local;global;local;Local
красная;local;local;local;Local
темная;local;local;local;Local
голубая;local;global;local;Local
черная;local;local;local;Local
темно;local;dep;local;Local
прозрачная;local;local;local;Local
кровавая;local;global;local;Local
заметил;local;global;local;Local
понял;local;global;local;Local
увидел;local;local;local;Local
подумал;local;local;local;Local
догадался;local;local;local;Local
додумалась;local;local;local;Local
узнал;local;local;local;Local
смог;local;dep;local;Local
успел;local;dep;local;Local
предусмотрел;local;local;local;Local
знал;local;local;local;Local
рассказ;local;global;global;Global
венок;local;local;local;Local
букет;local;local;local;Local
заговор;local;local;local;Local
короб;local;local;local;Local
круг;local;local;local;Local
разговор;local;local;local;Local
шарф;local;local;local;Local
сюжет;local;global;local;Local
мир;local;local;local;Local
клубок;local;local;local;Local
узел;local;local;local;Local
план;local;local;local;Local
аров;dep;local;dep;Dep
свитер;local;local;local;Local
джемпер;local;local;local;Local
вечер;global;global;local;Global
ночь;global;global;local;Global
конец;local;local;local;Local
готово;local;local;local;Local
утро;local;local;local;Local
делема;local;local;local;Local
полночь;global;global;local;Local
началось;local;local;local;Local
стемнело;global;global;local;Global
обомлел;local;local;local;Local
осень;local;local;local;Local
финал;local;local;local;Local
я;local;local;local;Local
красота;local;local;local;Local
близко;local;global;local;Local
результат;local;local;local;Local
проснулся;local;local;global;Local
он;local;local;local;Local
рассказывал;local;global;dep;Global
вовсе;local;local;local;Local
был;local;local;local;Local
сделал;local;local;local;Local
сплёл;local;global;global;Global
говорил;local;local;dep;Local
волшебник;local;local;local;Local
украл;local;local;local;Local
рассказал;local;global;dep;Global
другой;local;local;local;Local
приходил;local;local;local;Local
совсем;local;local;local;Local
сумасшедший;local;local;local;Local
сделал;local;local;local;Local
рассказывал;local;global;global;Global
это;local;local;local;Local
он;local;local;local;Local
прав;local;local;local;Local
умный;local;local;local;Local
этот;local;local;local;Local
уснул;local;global;global;Global
говорил;local;global;global;Global
уважаемый;local;local;local;Local
существовал;local;local;local;Local
сделал;local;local;local;Local
уснул;local;global;global;Global
пришел;local;local;local;Local
гениальный;local;local;local;Local
ученый;local;local;local;Local
исполнил;local;local;local;Local
мужчина;local;local;local;Local
иностранный;local;global;local;Local
был;local;global;local;Local
лицо;local;local;local;Local
глаза;local;local;local;Local
незнакомого;local;local;local;Local
красивого;local;local;local;Local
стоявшего;local;local;local;Local
профиль;local;local;local;Local
причудливого;local;local;local;Local
подошедшего;local;local;local;Local
этого;local;local;local;Local
силуэт;local;local;local;Local
повадки;local;local;local;Local
морду;local;local;local;Local
подозрительного;local;local;local;Local
рассказ;local;local;global;Local
взгляд;local;local;local;Local
образ;local;local;local;Local
доклад;local;local;local;Local
ответ;local;local;local;Local
довод;local;local;local;Local
интерес;local;local;local;Local
вывод;local;local;local;Local
подход;local;local;local;Local
спутник;local;local;local;Local
рассказа;local;dep;global;Global
юмор;local;local;local;Local
собеседник;local;local;local;Local
сон;local;local;global;Local
вопрос;local;local;local;Local
эксперимент;local;local;local;Local
профиль;local;local;local;Local
вариант;local;local;local;Local
опыт;local;local;local;Local
облик;local;local;local;Local
замысел;local;local;local;Local
метод;local;local;local;Local
голосучениями;dep;dep;local;Dep
рассказами;local;global;local;Local
писаниями;local;global;local;Local
писанием;local;dep;local;Local
описаниями;local;local;local;Local
заповедями;local;global;local;Local
текстами;local;local;local;Local
учениями;local;global;local;Local
песнопениями;local;local;local;Local
пророчествами;local;global;local;Local
трактовками;local;local;local;Local
образами;local;local;local;Local
устоями;local;local;local;Local
мировоззрением;local;dep;local;Local
стихами;local;local;local;Local
преданиями;local;local;local;Local
понятиями;local;local;local;Local
представлением;local;dep;local;Local
чтениями;local;local;local;Local
законами;local;local;local;Local
событиями;local;local;local;Local
догматами;local;global;local;Local
представлениями;local;local;local;Local
сказал;local;local;local;Local
отозвался;local;local;local;Local
ответил;local;local;local;Local
промолвил;local;local;local;Local
товарищь;local;dep;local;Local
проговорил;local;local;local;Local
воскликнул;none;local;local;Local
милый;local;dep;local;Local
прошептал;local;local;local;Local
отвечал;local;local;local;Local
скащал;local;local;local;Local
написано;local;global;local;Local
было;local;local;local;Local
описано;local;global;local;Local
сказано;local;local;local;Local
происходит;local;local;local;Local
упоминается;local;local;local;Local
говорится;local;local;local;Local
рассказано;local;local;local;Local
записано;local;global;local;Local
прописано;local;global;local;Local
прочитали;local;local;local;Local
источник;local;global;local;Local
документ;local;local;local;Local
факт;local;local;local;Local
учебник;local;local;local;Local
подтекст;local;local;local;Local
текст;local;local;local;Local
труд;local;local;local;Local
рассказ;local;local;local;Local
осекся;local;global;global;Global
удивился;local;local;global;Local
задумался;local;local;global;Local
вздрогнул;local;local;global;Local
замолчал;local;global;local;Local
улыбнулся;local;local;local;Local
сказал;local;local;local;Local
подумал;local;local;local;Local
тоже;local;dep;local;Local
очумел;local;global;local;Local
отвернулся;local;local;local;Local
изумился;local;local;global;Local
умолк;local;global;none;Global
ушел;local;local;none;Local
смутился;local;local;global;Local
засмеялся;local;local;local;Local
опешил;local;global;global;Global
одумался;local;local;local;Local
испугался;local;local;local;Local
успокоился;local;local;local;Local
замялся;local;global;global;Global
ужаснулся;local;local;global;Local
согласился;local;local;local;Local
насторожился;local;local;global;Local
буркнул;local;local;local;Local
кивнул;local;local;local;Local
идя;local;local;local;Local
прогуливаясь;local;local;local;Local
гуляя;local;local;local;Local
идущему;local;local;local;Local
переходя;local;local;local;Local
шагая;local;local;local;Local
гулявшему;local;local;local;Local
ходящим;local;local;local;Local
уйти;local;dep;local;Local
мальчишке;local;dep;local;Local
мужчине;local;dep;local;Local
пошел;local;dep;local;Local
проходя;local;local;local;Local
идем;local;dep;local;Local
когда;local;dep;local;Local
неспеша;local;local;local;Local
побрёл;local;local;local;Local
подтвердить;local;global;dep;Global
доказать;local;global;local;Local
утверждать;local;global;dep;Global
знать;local;local;local;Local
объяснить;local;local;local;Local
это;local;dep;local;Local
сказать;local;local;local;Local
узнать;local;local;local;Local
рассказать;local;local;local;Local
опровергнуть;local;local;local;Local
ответить;local;local;local;Local
помочь;local;local;local;Local
поручиться;local;global;local;Local
сделать;local;local;local;Local
понять;local;local;local;Local
этого;local;local;local;Local
помочь;local;local;local;Local
рассказывали;global;global;local;Global
рассказали;global;global;local;Global
сказали;global;global;local;Global
рассказываете;global;local;local;Local
поведали;global;global;local;Global
говорили;global;global;local;Global
пояснили;global;global;local;Global
пришли;local;local;local;Local
сделали;local;local;local;Local
говорите;global;local;local;Local
дали;local;local;local;Local
сообщили;global;local;local;Local
показали;global;local;local;Local
что;global;dep;local;Global
заявили;global;local;local;Local
