Пропуск,Слово,Семантическое поле ,Количество,агрегация ,
42,последовал ,глаголы начала движения,1,,
43,двинулся,глаголы однонаправленного движения,7,,
43,следовали,глаголы однонаправленного движения,7,,
43,шли,глаголы движения,3,,
43,поспешили,глаголы однонаправленного движения,2,,
43,двинулись,глаголы однонаправленного движения,2,,
43,шел,глаголы движения,2,,
43,поскакали,глаголы однонаправленного движения,1,,
43,проследовали,глаголы однонаправленного движения,1,,
43,следом ,глаголы однонаправленного движения,1,,
43,следовал ,глаголы однонаправленного движения,1,,
43,верный,характер,1,,
43,скакали,глаголы движения,1,,
43,направились,глаголы однонаправленного движения,1,,
43,ехали,глаголы движения,1,,
43,направился,глаголы однонаправленного движения,1,,
43,погнался,глаголы однонаправленного движения,1,,
43,летел,глаголы движения,1,,
43,прокуратор,человек,1,,
43,последовал,глаголы однонаправленного движения,1,,
43,тронулся,глаголы однонаправленного движения,1,,
43,последовали,глаголы однонаправленного движения,1,,
43,поехали,глаголы однонаправленного движения,1,,
43,толпа,наименование групп лиц,1,,
43,вслед,направление,1,,
43,мчались,глаголы движения,1,,
43,весь,количество,1,,
