,index,words,values
151,152,"хладнокровие, самообладание, сознание, мужество","[[0], [0], [3], [-1]]"
152,153,любить,[[0]]
153,154,"понимать, думать, чувствовать","[[0], [1], [-1]]"
154,155,"найти, увидеть, разыскать","[[0], [1], [0]]"
155,156,воображение,[[0]]
156,157,"вспоминать, повторять","[[0], [-1]]"
157,158,грудь,[[0]]
158,159,"огонь, пламя","[[0], [0]]"
159,160,"любить, боготворить","[[0], [-1]]"
160,161,,[]
161,162,"печаль, тоска, грусть","[[0], [-1], [0]]"
162,163,глаз,[[0]]
163,164,испарина,[[0]]
164,165,"вырвать, достать","[[0], [1]]"
165,166,жизнь,[[0]]
166,167,"полюбить, любить","[[0], [0]]"
167,168,память,[[0]]
168,169,жизнь,[[0]]
169,170,,[]
170,171,фонтан,[[0]]
171,172,желанный,[[0]]
172,173,,[]
173,174,"подумать, понять, думать, осознать, понимать, почувствовать, увидеть, видеть","[[-1, 0], [-1], [-1, 0], [-2], [-1], [-2], [-3, -3], [-3, -3]]"
174,175,кровь,[[0]]
175,176,жизнь,[[0]]
176,177,мучительный,[[0]]
177,178,стена,[[0]]
178,179,"жить, существовать","[[0], [0, 1]]"
179,180,"умереть, остановиться","[[0], [2]]"
180,181,утешение,[[0]]
181,182,горшок,[[0]]
182,183,домашний,[[0]]
183,184,"жить, существовать","[[0], [0, 1]]"
184,185,ночь,[[0]]
185,186,отказаться,[[0]]
186,187,"велеть, приказать, повелеть","[[0], [0], [0]]"
187,188,"дорога, путь, линия","[[0], [0], [1]]"
188,189,"оружие, орудие, нож","[[0], [-3, -2, 1], [-2]]"
189,190,"оружие, меч, нож, орудие","[[0], [-3], [-2], [-3, -2, 1]]"
190,191,мысль,[[0]]
191,192,встретиться,[[0]]
192,193,,[]
193,194,"надежда, мысль","[[0], [2]]"
194,195,мысль,[[0]]
195,196,"возвратить, вернуть","[[0], [0]]"
196,197,предположение,[[0]]
197,198,,[]
198,199,"повидать, увидеть, встретить","[[0], [0], [0]]"
199,200,лицо,[[0]]
200,201,вечер,[[0]]
