,levels,amount
0,-3.0,5.0
1,-2.0,17.0
2,-1.5,222.0
3,-1.0,164.0
4,-0.5,45.0
5,0.0,3325.0
6,0.5,264.0
7,1.0,147.0
8,1.5,8.0
9,2.0,76.0
10,3.0,25.0
