1
Слово;Тип;Тип;Тип;Итог;Пропуск;Верно
безмятежной;local;local;local;Local;10;0
потерянной;local;local;local;Local;10;0
блаженной;local;local;local;Local;10;0
дерзкой;local;local;local;Local;10;0
восковой;local;local;dep;Local;10;0
беззубой;local;global;local;Local;10;0
счасливой;local;local;global;Local;10;0
натянутой;local;local;local;Local;10;0
беспощадной;local;local;local;Local;10;0
глупой;local;local;local;Local;10;0
заметной;local;local;local;Local;10;0
грустной;local;local;local;Local;10;0
знал;local;local;local;Local;11;1
видит;local;local;local;Local;11;0
понимал;local;local;local;Local;11;0
понял;local;local;local;Local;11;0
знал;local;local;local;Local;11;0
заметил;local;local;local;Local;11;0
видел;local;local;local;Local;11;0
догадывался;local;local;local;Local;11;0
подозревал;local;local;local;Local;11;0
подумал;local;local;local;Local;11;0
увидел;local;local;local;Local;11;0
знает;local;local;local;Local;11;0
сказал;local;local;local;Local;11;0
занл;local;dep;local;Local;11;0
воротам;local;local;none;Local;12;0
ступеням;local;global;global;global;12;1
стенам;local;local;local;Local;12;0
перилам;local;local;local;Local;12;0
дверям;local;local;local;Local;12;0
башням;local;local;local;Local;12;0
тропам;local;dep;local;Local;12;0
коридором;local;dep;local;Local;12;0
распятиям;global;global;global;global;12;0
гильотинам;global;global;global;global;12;0
троих;local;global;global;global;12;0
крестам;local;global;global;global;12;0
поручням;local;local;local;Local;12;0
помостам;local;global;global;global;12;0
виселицам;global;global;global;global;12;0
столбам;local;local;global;Local;12;0
линиям;local;local;local;Local;12;0
строениям;local;local;local;Local;12;0
дорогу;local;local;dep;Local;13;1
улицу;local;local;local;Local;13;0
тропу;local;local;local;Local;13;0
площадь;local;local;global;Local;13;0
воду;local;local;local;Local;13;0
арену;local;global;local;Local;13;0
перед;dep;local;local;Local;13;0
осужденных;global;global;global;global;14;1
людей;local;local;local;Local;14;0
смерть;local;global;global;global;14;0
казни;global;global;global;global;14;0
толпу;local;local;global;Local;14;0
больше;local;local;local;local;14;0
дальше;local;local;local;Local;14;0
казнь;global;global;global;global;14;0
однако;local;dep;local;Local;14;0
его;local;local;local;Local;14;0
гору;local;dep;global;global;14;0
сам;local;local;local;Local;14;0
крест;local;global;global;global;14;0
приговоренных;global;global;global;global;14;0
помост;local;global;global;global;14;0
пленников;global;global;local;global;14;0
усталый;local;dep;local;Local;14;0
легионеров;global;global;global;global;14;0
тьма;local;local;local;Local;14;0
мост;local;global;none;global;14;0
город;local;global;none;global;14;0
этого;local;local;local;Local;14;0
боль;local;local;global;Local;14;0
чего;local;local;local;Local;14;0
здесь;local;local;local;Local;14;0
но;local;dep;local;Local;14;0
топлы;local;dep;global;Dep;14;0
равно;local;local;local;Local;14;0
посмотрел;local;dep;local;Local;14;0
зрелище;local;local;global;Local;14;0
что;local;local;local;Local;14;0
глашатаев;global;global;global;global;15;1
людей;local;local;local;Local;15;0
