Лист 1-Tаблица 2
;лок;глоб;деп;Из 
1;44;-;1;
2;48;-;-;
3;27;21;-;
4;41;6;-;
5;37;10;-;
6;29;15;1;
7;39;6;-;
8;34;11;1;
9;48;-;-;
10;47;;;
11;47;;;
12;43;5;;
13;23;24;;
14;34;10;;
15;17;30;;
16;9;36;1;
17;27;20;;
18;20;25;;
19;47;;;
20;40;5;;
21;42;;;
22;46;;;
23;45;2;;
24;45;;1;
25;43;;3;
26;46;;;
27;47;;;
28;40;6;;
29;43;;;
30;41;1;;
31;37;7;;
32;43;;;
33;46;;;
34;47;;;
35;47;;;
36;46;;;
37;45;;;
38;43;;;
39;46;1;;
40;45;1;;
