1_merge
;Слово;user_0;user_1;user_2;Вывод
76;взвизгнул;local;dep;local;Local
77;взвилась;local;local;local;Local
78;взглянув;local;local;local;Local
79;вздохнул;local;local;global;Local
80;вздрогнула;local;local;local;Local
81;взмокшая;local;global;local;Local
82;взял;local;local;local;Local
83;видел;local;local;local;Local
84;видел;local;local;local;Local
85;видел;local;local;local;Local
86;видел;local;local;local;Local
87;видел;local;local;local;Local
88;видел;local;local;local;Local
89;видел;local;local;local;Local
90;видел;local;local;local;Local
91;видит;local;local;local;Local
92;виноград;local;local;global;Local
93;виноград;local;local;global;Local
96;виноград;local;local;global;Local
97;виноград;local;local;global;Local
100;виселицам;global;global;global;Global 
101;вихрам;local;local;local;Local
102;влетела;local;local;global;Local
103;внезапно;local;local;local;Local
104;внешней;local;local;local;Local
105;водоему;local;local;local;Local
106;воду;local;local;local;Local
107;возможности;local;dep;local;Local
108;возможностью;local;dep;local;Local
109;воин;local;global;global;Global 
110;воин;local;global;global;Global 
111;воин;local;global;global;Global 
112;воин;local;global;global;Global 
113;воин;local;local;global;Local
114;воин;local;local;global;Local
115;воин;local;local;global;Local
116;воин;local;local;global;Local
117;воин;local;local;global;Local
118;воин;local;local;global;Local
119;воин;local;local;global;Local
120;воин;local;local;global;Local
121;воин;local;local;global;Local
122;воин;local;local;global;Local
123;воин;local;local;global;Local
124;воин;local;local;global;Local
125;воин;local;global;global;Global 
126;воин;local;global;global;Global 
127;воин;local;global;global;Global 
128;воин;local;global;global;Global 
129;воин;local;local;global;Local
130;воин;local;local;global;Local
131;воин;local;local;global;Local
132;воин;local;local;global;Local
133;воин;local;local;global;Local
134;воин;local;local;global;Local
135;воин;local;local;global;Local
136;воин;local;local;global;Local
137;воин;local;local;global;Local
138;воин;local;local;global;Local
139;воин;local;local;global;Local
140;воин;local;local;global;Local
141;воин;global;global;global;Global 
142;воин;global;global;global;Global 
143;воин;global;global;global;Global 
144;воин;global;global;global;Global 
145;воин;global;local;global;Global 
146;воин;global;local;global;Global 
147;воин;global;local;global;Global 
148;воин;global;local;global;Global 
149;воин;global;local;global;Global 
150;воин;global;local;global;Global 
151;воин;global;local;global;Global 
152;воин;global;local;global;Global 
153;воин;global;local;global;Global 
154;воин;global;local;global;Global 
155;воин;global;local;global;Global 
156;воин;global;local;global;Global 
157;воин;global;global;global;Global 
158;воин;global;global;global;Global 
159;воин;global;global;global;Global 
160;воин;global;global;global;Global 
161;воин;global;local;global;Global 
162;воин;global;local;global;Global 
163;воин;global;local;global;Global 
164;воин;global;local;global;Global 
165;воин;global;local;global;Global 
166;воин;global;local;global;Global 
167;воин;global;local;global;Global 
168;воин;global;local;global;Global 
169;воин;global;local;global;Global 
170;воин;global;local;global;Global 
171;воин;global;local;global;Global 
172;воин;global;local;global;Global 
173;воочию;local;local;global;Local
174;ворвалась;local;local;global;Local
175;воробья;local;local;local;Local
176;ворон;local;dep;local;Local
177;воротам;local;local;none;Local
178;восковой;local;local;dep;Local
179;всадник;global;local;global;Global 
180;всадник;global;local;global;Global 
181;всадник;global;local;global;Global 
182;всадник;global;local;global;Global 
183;всадник;global;local;global;Global 
184;всадник;global;local;global;Global
185;всадник;global;local;global;Global
186;всадник;global;local;global;Global
187;всадник;global;local;global;Global
188;всадник;global;local;global;Global
189;всадник;global;local;global;Global
190;всадник;global;local;global;Global
191;всадник;global;local;global;Global
192;всадник;global;local;global;Global
193;всадник;global;local;global;Global
194;всадник;global;local;global;Global
195;всадник;global;local;global;Global
196;всадник;global;local;global;Global
197;всадник;global;local;global;Global
198;всадник;global;local;global;Global
199;всадник;global;local;global;Global
200;всадник;global;local;global;Global
201;всадник;global;local;global;Global
202;всадник;global;local;global;Global
203;всадник;global;local;global;Global
204;всадник;global;local;global;Global
205;всадник;global;local;global;Global
206;всадница;local;dep;local;Local
207;всех;local;local;local;Local
208;вслед;local;local;local;Local
209;встал;local;local;local;Local
210;встали;local;dep;local;Local
211;встрепенулись;local;local;global;Local
212;въехал;local;dep;dep;dep
213;выбежала;local;local;local;Local
214;выберется;local;local;local;Local
215;выгнулась;local;local;local;Local
216;выехав;local;local;local;Local
217;выехал;local;dep;local;Local
218;выехала;local;local;local;Local
219;вылетала;local;local;global;Local
220;вылетела;local;local;global;Local
221;вынул;local;local;local;Local
222;вынцл;local;dep;local;Local
223;выпил;local;dep;local;Local
224;выпрямился;local;local;local;Local
225;вырвался;local;local;local;Local
226;вырван;local;dep;local;Local
227;вырваный;local;dep;local;Local
228;вырывается;local;local;local;Local
229;вырывался;local;local;local;Local
230;выскользнул;local;local;local;Local
231;высокой;local;local;local;Local
232;выстроились;local;local;local;Local
233;высунул;local;local;local;Local
234;выташтл;local;dep;local;Local
235;вытащил;local;local;local;Local
236;выхватил;local;local;local;Local
237;выходила;local;local;local;Local
238;вышла;local;local;local;Local
239;вьюн;local;local;local;Local
240;вьюн;local;local;global;Local
241;вьюн;local;local;local;Local
242;вьюн;local;local;global;Local
243;вьюн;local;local;local;Local
244;вьюн;local;local;global;Local
245;вьюн;local;local;local;Local
246;вьюн;local;local;global;Local
247;гильотинам;global;global;global;Global
248;глашатаев;global;global;global;Global
249;глашатай;local;global;global;Global
250;глупой;local;local;local;Local
251;глупой;local;local;local;Local
252;глупой;local;local;local;Local
253;глупой;local;local;local;Local
254;глупой;local;local;local;Local
255;глупой;local;local;local;Local
256;глупой;local;local;local;Local
257;глупой;local;local;local;Local
258;гневно;local;local;local;Local
259;гнилыми;local;local;local;Local
260;гном;local;local;local;Local
261;головой;local;local;local;Local
262;голодранцев;local;dep;local;Local
263;голоса;local;local;local;Local
264;голубыми;local;dep;local;Local
265;гонг;global;dep;local;local
266;гончая;local;dep;local;Local
267;гордая;local;local;local;Local
268;город;local;global;none;Global
269;городской;local;local;global;Local
270;городской;local;local;local;Local
271;городской;local;local;global;Local
272;городской;local;local;local;Local
273;городской;global;local;global;Global
274;городской;global;local;local;Local
275;городской;global;local;global;Global
276;городской;global;local;local;Local
277;городу;local;local;local;Local
278;гору;local;dep;global;Global
279;греческих;global;global;global;Global
280;греческом;global;global;global;Global
281;громкий;local;dep;local;Local
282;громкий;local;dep;local;Local
283;громкий;local;local;local;Local
284;громкий;local;local;local;Local
285;громкий;local;dep;local;Local
286;громкий;local;dep;local;Local
287;громкий;local;local;local;Local
288;громкий;local;local;local;Local
289;громко;local;local;local;Local
290;грохот;local;local;local;Local
291;грустной;local;local;local;Local
292;гул;local;local;local;Local
293;густой;local;local;local;Local
294;да;local;dep;local;Local
295;дальше;local;local;local;Local
296;дверям;local;local;local;Local
297;движение;local;local;local;Local
298;двинулась;local;local;local;Local
299;двинулись;local;local;local;Local
300;двинулись;local;local;local;Local
301;двинулись;local;local;local;Local
302;двинулись;local;local;local;Local
303;двинулись;local;local;local;Local
304;двинулись;local;local;local;Local
305;двинулись;local;local;local;Local
306;двинулись;local;local;local;Local
307;двинулся;local;local;local;Local
308;двинулся;local;local;local;Local
309;двинулся;local;local;local;Local
310;двинулся;local;local;local;Local
311;двинулся;local;local;local;Local
312;двинулся;local;local;local;Local
313;двинулся;local;local;local;Local
314;двинулся;local;local;local;Local
315;дворцовой;local;local;global;Local
316;дворцу;local;local;global;Local
317;дворцу;local;local;global;Local
320;дворцу;local;local;global;Local
321;дворцу;local;local;global;Local
324;девушку;local;local;local;Local
325;дежурный;local;dep;dep;Dep
326;деньги;dep;dep;dep;Dep
327;деревьев;local;dep;local;Local
328;дерзкой;local;local;local;Local
329;детской;local;local;local;Local
330;дикая;local;dep;local;Local
331;дико;local;local;local;Local
332;доброй;local;local;local;Local
333;догадывался;local;local;local;Local
334;дому;local;local;local;Local
335;донесшийся;local;local;local;Local
336;доносящийся;local;local;local;Local
337;допросах;local;global;global;Global
338;допросе;local;global;global;Global
339;дороге;local;local;local;Local
340;дороге;local;local;local;Local
341;дороге;local;local;local;Local
342;дороге;local;local;local;Local
343;дороге;local;local;local;Local
344;дороге;local;local;local;Local
345;дороге;local;local;local;Local
346;дороге;local;local;local;Local
347;дорогой;local;local;local;Local
348;дорогу;local;local;dep;Local
349;дорожной;local;local;local;Local
350;досок;local;local;local;Local
351;доспехи;local;local;local;Local
352;достал;local;local;local;Local
353;драгоценности;local;dep;local;Local
354;дрелей;local;dep;local;Local
355;других;local;local;local;Local
356;дыбе;local;dep;local;Local
357;дым;local;local;local;Local
358;дым;local;local;local;Local
359;дым;local;dep;local;Local
360;дым;local;dep;local;Local
361;дым;local;local;local;Local
362;дым;local;local;local;Local
363;дым;local;dep;local;Local
364;дым;local;dep;local;Local
365;еврейском;global;global;global;Global
366;его;local;local;local;Local
367;его;local;local;local;Local
368;его;local;dep;local;Local
369;его;local;dep;local;Local
370;его;local;local;local;Local
371;его;local;local;local;Local
372;его;local;dep;local;Local
373;его;local;dep;local;Local
374;ехали;local;local;local;Local
375;ехали;local;local;local;Local
376;ехали;local;local;local;Local
377;ехали;local;local;local;Local
378;ехали;local;local;local;Local
379;ехали;local;local;local;Local
380;ехали;local;local;local;Local
381;ехали;local;local;local;Local
382;ехидно;local;local;local;Local
383;желтыми;local;local;local;Local
384;женщин;local;local;local;Local
385;женщина;local;local;local;Local
386;женщина;local;local;dep;Local
387;женщина;local;local;local;Local
388;женщина;local;local;dep;Local
389;женщина;local;local;local;Local
390;женщина;local;local;dep;Local
391;женщина;local;local;local;Local
392;женщина;local;local;dep;Local
393;жестоко;local;local;local;Local
394;жук;local;local;local;Local
395;жутко;local;local;local;Local
396;забежала;local;local;local;Local
397;заборов;local;dep;local;Local
398;загривку;local;local;local;Local
399;зад;local;dep;local;Local
400;заметил;local;local;local;Local
401;заметно;local;dep;local;Local
402;заметной;local;local;local;Local
403;замыкающий;global;local;local;Local
404;занл;local;dep;local;Local
405;западной;local;local;local;Local
406;запаздавший;local;local;local;Local
407;запряженная;local;local;local;Local
408;запястьях;local;local;local;Local
409;запятьях;local;local;local;Local
410;заржав;local;local;local;Local
411;заржала;local;local;local;Local
412;заржала;local;local;local;Local
413;заржала;local;local;local;Local
414;заржала;local;local;local;Local
415;заржала;local;local;local;Local
416;заржала;local;local;local;Local
417;заржала;local;local;local;Local
418;заржала;local;local;local;Local
419;зашла;local;local;local;Local
420;защищая;local;local;local;Local
421;звеня;local;local;local;Local
422;звереныш;local;local;local;Local
423;звонко;local;local;local;Local
424;звук;local;local;local;Local
425;звучно;local;local;local;Local
426;здесь;local;local;local;Local
427;зевак;local;local;local;Local
428;зевак;local;local;global;Local
429;зевак;local;local;local;Local
430;зевак;local;local;global;Local
431;зевак;global;local;local;Local
432;зевак;global;local;global;Global
433;зевак;global;local;local;Local
434;зевак;global;local;global;Global
435;зло;local;local;local;Local
436;злобно;local;local;local;Local
437;зловеще;local;local;local;Local
438;злым;local;dep;local;Local
439;знает;local;local;local;Local
440;знал;local;local;local;Local
441;знал;local;local;local;Local
442;знал;local;local;local;Local
443;знал;local;local;local;Local
444;знал;local;local;local;Local
445;знал;local;local;local;Local
446;знал;local;local;local;Local
447;знал;local;local;local;Local
448;знал;local;local;local;Local
449;знал;local;local;local;Local
450;знал;local;local;local;Local
451;знал;local;local;local;Local
452;знал;local;local;local;Local
453;знал;local;local;local;Local
454;знал;local;local;local;Local
455;знал;local;local;local;Local
456;знал;local;local;local;Local
457;знал;local;local;local;Local
458;знал;local;local;local;Local
459;знал;local;local;local;Local
460;знал;local;local;local;Local
461;знал;local;local;local;Local
462;знал;local;local;local;Local
463;знал;local;local;local;Local
464;знал;local;local;local;Local
465;знал;local;local;local;Local
466;знал;local;local;local;Local
467;знаменем;local;local;local;Local
468;знаменосец;global;global;global;Global
469;значком;local;global;global;Global
470;золотыми;local;local;local;Local
471;зрелище;local;local;local;Local
472;зрелище;local;local;global;Local
473;зрелище;local;local;local;Local
474;зрелище;local;local;global;Local
475;зрелище;local;local;local;Local
476;зрелище;local;local;global;Local
477;зрелище;local;local;local;Local
478;зрелище;local;local;global;Local
479;зычно;local;local;local;Local
480;и;local;local;none;Local
481;и;local;local;dep;Local
605;иешуа;global;global;global;Global 
606;излом;local;local;local;Local
607;измученной;local;local;global;Local
608;изнанку;local;local;local;Local
609;иисуса;dep;global;global;Global
610;императора;local;dep;global;Dep
611;инжир;local;global;global;Global
612;иностранных;local;local;local;Local
613;искренней;local;dep;local;Local
614;испугала;local;dep;local;Local
615;испугалась;local;local;local;Local
616;исходящий;local;local;local;Local
617;иудейских;global;global;global;Global
618;иудейском;global;global;global;Global
619;кавалериец;global;global;global;Global
627;кавалерииц;global;dep;global;Global
628;кавалерийского;local;dep;global;Global
629;кавалерийской;global;dep;global;Global
638;казни;global;global;global;Global
639;казнь;global;global;global;Global
640;каменной;local;local;global;Local
641;камней;local;local;global;Local
642;камней;local;local;global;Local
643;камней;local;local;global;Local
644;камней;local;local;global;Local
645;камней;local;local;global;Local
646;камней;local;local;global;Local
647;камней;local;local;global;Local
648;камней;local;local;global;Local
649;камни;local;local;local;Local
650;кандалами;local;dep;global;Global
651;кандалы;local;global;local;Local
652;караван;local;dep;local;Local
653;кекнул;local;dep;local;Local
654;кирпичной;local;local;local;Local
655;клубах;local;local;local;Local
656;когорты;local;global;dep;Dep
657;когорты;local;global;global;Global
658;когорты;local;global;dep;Dep
659;когорты;local;global;global;Global
660;когорты;global;global;dep;Global
661;когорты;global;global;global;Global
662;когорты;global;global;dep;Global
663;когорты;global;global;global;Global
664;кожу;local;local;local;Local
665;кольчугой;local;global;local;Local
666;команда;local;dep;local;Local
667;командир;global;global;global;Global
676;командир;global;global;local;Global
731;конфеты;local;local;local;Local
732;копий;local;global;global;Global
733;коридором;local;dep;local;Local
734;корманоми;local;dep;none;Dep
735;кот;local;local;local;Local
736;котенок;local;local;local;Local
737;которая;local;dep;local;Local
738;красивыми;local;dep;local;Local
739;крепости;local;global;global;Global
740;крепостной;local;local;global;Local
741;крест;local;global;global;Global
749;крестам;local;global;global;Global
750;кресте;local;global;global;Global
751;кривыми;local;local;none;Local
752;кривя;local;local;local;Local
753;крик;local;local;local;Local
754;крики;local;local;local;Local
755;кровожадно;local;local;local;Local
756;кроточащих;local;dep;global;Local
757;кружила;local;dep;local;Local
758;крупу;local;local;local;Local
759;крыш;local;dep;local;Local
760;кусков;local;dep;local;Local
761;ламп;local;local;local;Local
762;лампасов;local;dep;global;Dep
763;латинских;global;global;global;Global
764;латинском;global;global;global;Global
765;латыни;global;global;global;Global
766;левой;local;local;local;Local
767;легионер;global;global;global;Global
768;легионеров;global;global;global;Global
775;легионеров;local;global;global;Global
776;ленин;dep;dep;dep;Dep
777;лес;local;dep;local;Local
785;лестнице;local;global;global;Global
786;летел;local;local;global;Local
787;линиям;local;local;local;Local
788;листьев;local;local;local;Local
790;листьев;local;dep;local;Local
796;лицо;local;dep;local;Local
797;локтях;local;local;local;Local
798;лохмотья;local;global;local;Local
799;лошадь;local;local;local;Local
800;людей;local;local;local;Local
803;людей;local;local;global;Local
864;маленький;dep;dep;local;Dep
865;мальчик;local;local;local;Local
866;мальчишек;local;local;global;Local
867;мантией;local;local;local;Local
868;мантиях;local;dep;local;Local
869;массивная;local;local;local;Local
870;мгновенно;local;local;local;Local
871;мессию;local;global;global;Global
872;мокрой;local;dep;local;Local
873;молодая;local;local;local;Local
874;молодой;local;local;local;Local
875;момент;local;global;local;Local
876;морща;local;local;local;Local
877;морщась;local;local;local;Local
878;морщинами;local;local;local;Local
879;морщя;local;dep;local;Local
880;мост;local;global;none;Global
881;мосту;local;global;local;Local
882;мох;local;local;local;Local
883;мошка;local;local;local;Local
884;мужчина;local;local;local;Local
885;мулат;local;local;global;Local
886;муравей;local;local;local;Local
887;мустанг;local;dep;local;Local
888;мчались;local;local;global;Local
896;мышонок;local;local;local;Local
897;мышь;local;local;local;Local
898;на;local;dep;local;Local
925;навесной;local;dep;local;Local
926;нависавшей;local;local;local;Local
927;надрывно;local;local;global;Local
928;наездник;local;local;global;Local
929;назад;dep;dep;dep;Dep
930;направились;local;local;local;Local
931;направился;local;local;local;Local
939;настиг;local;dep;dep;Dep
940;натянутой;local;local;local;Local
941;нахмурился;local;local;global;Local
942;начали;local;dep;local;Local
943;невероятное;local;local;local;Local
944;невзрачно;local;dep;local;Local
945;невнятно;local;local;local;Local
946;ней;local;local;local;Local
947;некрасивыми;local;local;local;Local
948;немецком;local;dep;local;Local
949;непонятных;local;local;local;Local
950;непроглядной;local;dep;local;Local
951;неровными;local;local;local;Local
952;неслись;local;local;global;Local
953;несущий;local;dep;local;Local
954;низенькой;local;local;local;Local
955;низкой;local;local;local;Local
956;ним;local;dep;local;Local
957;них;local;dep;local;Local
958;но;local;dep;local;Local
959;ногам;local;local;local;Local
960;ножной;local;dep;global;Global
961;ночь;local;dep;local;Local
962;обезьяна;local;dep;local;Local
963;обернулись;local;local;global;Local
964;обернулся;local;local;local;Local
965;облаках;local;local;local;Local
966;облаке;local;local;local;Local
967;обоженных;local;dep;local;Local
968;обоих;local;local;local;Local
969;овраг;local;local;local;Local
970;оглянулся;local;local;local;Local
971;оголенными;local;local;local;Local
972;огороду;local;dep;local;Local
973;одеждах;local;dep;local;Local
974;одежду;local;local;local;Local
975;один;local;dep;local;Local
976;однако;local;dep;local;Local
977;оковы;local;global;local;Local
978;окрик;local;local;local;Local
979;он;local;global;local;Local
1006;опуская;local;local;local;Local
1007;осел;local;dep;local;Local
1008;осмотрелся;local;local;local;Local
1009;остановилась;local;local;local;Local
1010;остановились;local;local;global;Local
1011;остановился;local;local;local;Local
1018;остановился;local;local;global;Local
1019;остановясь;local;dep;local;Local
1020;островков;local;local;local;Local
1021;острыми;local;local;local;Local
1022;осужденных;global;global;global;Global 
1023;от;local;dep;local;Local
1024;отвернулись;local;local;local;Local
1025;ответили;local;local;local;Local
1026;отворачивая;local;local;local;Local
1027;отправился;local;local;local;Local
1028;отрывисто;local;local;local;Local
1029;отчаянно;local;local;global;Local
1030;охране;local;global;global;Global
1031;охранник;local;local;global;Local
1032;очнулась;local;dep;local;Local
1033;падающий;local;local;local;Local
1034;палач;global;global;global;Global
1035;палках;local;dep;local;Local
1036;палки;local;local;global;Local
1037;палок;local;local;local;Local
1038;палочек;local;local;local;Local
1039;паренек;local;local;local;Local
1040;партии;local;dep;dep;Dep
1041;перед;dep;local;local;Local
1046;перед;local;local;local;Local
1048;перед;local;dep;local;Local
1049;перилам;local;local;local;Local
1050;пик;local;global;global;Global
1051;пилат;global;global;global;Global 
1059;пилата;global;global;global;Global
1060;плащ;local;local;local;Local
1061;пленников;global;global;local;Global 
1062;плетей;local;local;global;Local
1063;плетью;local;dep;local;Local
1064;плечами;local;local;local;Local
1065;плече;local;local;local;Local
1066;плит;local;local;global;Local
1067;плиток;local;local;global;Local
1068;плошади;local;global;global;Global
1069;площади;local;global;global;Global
1070;площадь;local;local;global;Local
1071;плющ;local;local;local;Local
1072;побежали;local;local;local;Local
1073;побережью;local;local;local;Local
1074;повернул;local;local;local;Local
1075;повернула;local;local;local;Local
1076;повернулись;local;local;local;Local
1077;повернулся;local;local;global;Local
1078;повернуося;local;local;global;Local
1079;погнались;local;local;local;Local
1080;погнался;local;local;global;Local
1081;подозревал;local;local;local;Local
1082;подросток;local;local;local;Local
1083;подумал;local;local;local;Local
1091;подумала;local;dep;local;Local
1092;поехал;local;local;local;Local
1093;поехали;local;local;local;Local
1101;пожелтевшими;local;local;local;Local
1102;полетели;local;local;global;Local
1103;полос;local;local;local;Local
1104;поморщив;local;local;local;Local
1105;помост;local;global;global;Global
1106;помостам;local;global;global;Global
1107;помосту;local;global;global;Global
1108;помчались;local;local;local;Local
1109;понимал;local;local;local;Local
1110;понимая;local;local;local;Local
1111;понтий;global;global;global;Global
1112;понял;local;local;local;Local
1120;понятно;local;local;local;Local
1121;попон;local;dep;global;Global
1122;породистая;local;local;local;Local
1123;поручням;local;local;local;Local
1124;поскакал;global;dep;global;Global
1125;поскакали;local;local;global;Local
1133;последний;local;local;local;Local
1134;последним;local;dep;local;Local
1135;последовал;local;local;local;Local
1136;последовал;local;local;global;Local
1143;последовали;local;local;local;Local
1151;посмотрел;local;local;local;Local
1153;посмотрел;local;dep;local;Local
1159;поснулся;local;dep;dep;Dep
1160;поспешила;local;local;local;Local
1161;поспешили;local;local;local;Local
1162;потерянной;local;local;local;Local
1163;потопал;local;local;local;Local
1164;пошел;local;local;global;Local
1165;пращенников;local;dep;dep;Dep
1166;предводитель;local;global;local;Local
1167;преследователь;local;dep;local;Local
1168;прибежали;local;local;local;Local
1169;привратник;local;global;global;Global
1170;приговоренных;global;global;global;Global
1171;прикрывая;local;local;local;Local
1172;продвигался;local;local;local;Local
1173;происходящее;local;local;local;Local
1174;промчались;local;local;global;Local
1175;пронзительно;local;local;local;Local
1176;проникла;local;local;local;Local
1177;проскакала;local;local;global;Local
1178;проскакали;local;local;local;Local
1179;проследовали;local;local;local;Local
1187;простолюдинов;local;global;local;Local
1188;прутьев;local;local;local;Local
1189;прямо;local;local;local;Local
1197;птиц;local;dep;local;Local
1204;птиц;local;local;local;Local
1205;птица;local;dep;dep;Dep
1206;путы;local;global;global;Global
1207;путь;local;local;local;Local
1215;пытках;local;global;global;Global
1216;пятен;local;local;local;Local
1217;равно;local;local;local;Local
1218;радостной;local;local;local;Local
1219;развернулся;local;local;global;Local
1220;раздавшийся;local;local;local;Local
1221;разных;local;local;local;Local
1222;разъеренная;local;local;local;Local
1223;распятии;local;global;global;Global
1224;распятиям;global;global;global;Global
1225;рванулась;local;local;global;Local
1226;ребят;local;local;local;Local
1227;ребёнок;local;local;local;Local
1228;рев;local;local;local;Local
1229;редкими;local;local;local;Local
1230;резвая;local;local;local;Local
1231;резко;local;local;local;Local
1239;резкь;local;dep;local;Local
1240;реке;local;local;local;Local
1241;ржание;local;local;local;Local
1242;ринулась;local;local;global;Local
1243;ровными;local;local;local;Local
1244;розы;local;dep;local;Local
1245;ртами;local;local;local;Local
1246;рубашку;local;local;local;Local
1247;рухнувшей;local;dep;local;Local
1248;сабель;local;dep;global;Dep
1249;саблей;global;global;global;Global
1250;саду;local;global;global;Global
1251;сам;local;local;local;Local
1252;сверкающими;local;local;local;Local
1260;сверкнула;local;dep;local;Local
1261;свертком;local;local;local;Local
1262;свет;local;dep;local;Local
1263;свист;local;local;local;Local
1264;свитком;local;local;global;Local
1265;своей;local;local;local;Local
1266;своих;local;local;local;Local
1267;свой;dep;dep;dep;Dep
1268;секирой;local;global;global;Global
1269;сенсацию;local;local;local;Local
1270;серебро;local;local;local;Local
1271;серой;local;local;local;Local
1272;сильно;local;local;local;Local
1273;сильной;local;dep;local;Local
1274;сириец;global;global;global;Global 
1282;сирийском;global;global;global;Global
1283;сирийца;global;global;global;Global
1284;сияет;local;dep;local;Local
1285;сказал;local;local;local;Local
1286;скакал;global;dep;global;Global
1287;скакали;local;local;local;Local
1288;скакали;local;local;global;Local
1289;скакали;local;local;local;Local
1295;скипетром;local;dep;local;Local
1296;скрежет;local;local;local;Local
1297;скривив;local;local;local;Local
1298;славянских;global;dep;local;Local
1299;след;local;dep;local;Local
1300;следовал;local;local;local;Local
1301;следовали;local;local;local;Local
1302;следом;local;local;local;Local
1303;слойкой;local;dep;local;Local
1304;слыша;local;local;local;Local
1305;смерть;local;global;global;Global
1306;смешной;local;dep;local;Local
1307;сморщив;local;local;local;Local
1308;собору;local;global;global;Global
1309;собралась;local;local;local;Local
1310;событие;local;local;local;Local
1311;советник;local;global;global;Global
1312;солдат;local;global;global;Global
1313;солдат;local;global;global;Global
1337;солдат;global;global;global;Global
1338;солдат;global;global;global;Global
1340;сомкнутыми;local;dep;local;Local
1341;спасение;local;global;global;Global
1342;спасётся;local;local;global;Local
1343;спешила;local;local;global;Local
1344;спине;local;local;local;Local
1345;спиной;local;local;local;Local
1346;спиною;local;local;global;Local
1347;стаканом;local;dep;local;Local
1348;стали;local;dep;local;Local
1349;старик;local;local;local;Local
1350;старой;local;local;local;Local
1351;статуе;local;global;dep;Global
1352;стволов;local;dep;local;Local
1353;стволом;local;dep;local;Local
1354;стеблей;local;local;local;Local
1355;стенам;local;local;local;Local
1356;стланик;local;dep;local;Local
1357;столбам;local;local;global;Local
1358;столбе;local;global;local;Local
1359;стороной;local;dep;local;Local
1360;стояли;local;dep;local;Local
1361;страж;local;global;global;Global
1362;стражник;local;global;global;Global
1369;стражник;global;global;global;Global
1370;стражников;local;global;global;Global
1371;странной;local;local;local;Local
1372;страшно;local;local;local;Local
1380;стрел;local;local;local;Local
1381;стремян;local;dep;global;Global
1382;строениям;local;local;local;Local
1390;ступеням;local;global;global;Global
1391;ступнням;local;dep;global;Global
1392;суду;local;global;global;Global
1393;сумасшедшей;local;local;global;Local
1394;суставах;local;local;local;Local
1395;сцену;local;local;local;Local
1396;счасливой;local;local;global;Local
1397;счастливой;local;local;global;Local
1398;там;local;dep;none;Local
1399;татуировкой;local;dep;local;Local
1400;темнокожий;local;dep;local;Local
1401;темные;local;dep;local;Local
1402;тихо;local;dep;local;Local
1403;то;local;local;local;Local
1430;толпа;global;dep;global;Global
1438;толпе;global;dep;global;Global
1439;толпу;local;local;global;Local
1443;толпы;local;local;global;Local
1444;толпы;global;local;local;Local
1445;толпы;global;local;global;Global
1446;толпы;global;local;local;Local
1447;толпы;global;local;global;Global
1448;тонких;local;dep;local;Local
1449;топлы;local;dep;global;Dep
1450;топором;global;local;local;Local
1458;тотчас;local;local;local;Local
1459;трав;local;local;local;Local
