1_merge
;Слово;user_0;user_1;user_2;Вывод
0;азербайджанском;global;dep;local;Local
1;амулеты;local;dep;global;Local
2;араб;global;global;local;Global 
3;арабском;global;global;global;Global 
4;арарийском;global;dep;dep;Dep
5;арену;local;global;local;Local
6;арке;local;global;global;Global 
7;артиллерия;local;local;local;Local
8;арык;local;dep;dep;Dep
9;аттрибутикой;local;local;local;Local
10;аурой;local;local;local;Local
11;ахнули;local;dep;local;Local
12;балок;local;dep;local;Local
13;банкиру;local;dep;local;Local
14;башням;local;local;local;Local
15;бегом;local;dep;local;Local
16;бегу;dep;dep;local;Dep
17;бедная;local;local;local;Local
18;бедрам;local;local;local;Local
19;бежала;local;local;local;Local
20;беззубой;local;global;local;Local
21;безмятежной;local;local;local;Local
22;безумной;local;local;global;Local
23;белогривая;local;global;local;Local
24;белой;local;local;local;Local
25;белоснежными;local;local;local;Local
26;белыми;local;local;local;Local
27;белыми;local;local;local;Local
28;белыми;local;local;local;Local
29;белыми;local;local;local;Local
30;белыми;local;local;local;Local
31;белыми;local;local;local;Local
32;белыми;local;local;local;Local
33;белыми;local;local;local;Local
34;берегу;local;local;local;Local
35;беспощадной;local;local;local;Local
36;бетонной;local;local;local;Local
37;благодарной;local;dep;dep;Global
38;блаженной;local;local;local;Local
39;бледной;local;local;local;Local
40;блестящими;local;local;local;Local
41;бляхой;local;local;local;Local
42;боевая;global;local;local;Local
43;боевыя;global;dep;local;
44;бокам;local;local;local;Local
45;боку;local;local;local;Local
46;боль;local;local;global;Local
47;больше;local;local;local;Local
48;большиие;local;dep;dep;Local
49;большими;local;local;local;Local
50;большой;local;local;local;Local
51;ботинок;local;dep;local;Local
52;бочине;local;local;local;Local
53;быстрая;local;local;local;Local
54;быстро;local;local;local;Local
55;вбегала;local;local;global;Local
56;вверх;local;local;local;Local
57;вдруг;local;dep;local;Local
58;ведущая;local;dep;local;Local
59;великий;local;global;local;Local
60;верные;local;dep;local;Local
61;верный;local;local;local;Local
62;веря;local;local;local;Local
63;верёвки;local;global;global;Global 
64;веселло;local;dep;global;Local
65;весело;local;local;local;Local
66;весело;local;local;global;Local
67;весело;local;local;local;Local
68;весело;local;local;global;Local
69;весело;local;local;local;Local
70;весело;local;local;global;Local
71;весело;local;local;local;Local
72;весело;local;local;global;Local
73;весь;global;local;local;Local
75;ветра;local;local;local;Local
