2_merge
;Слово;user_0;user_1;user_2;Вывод
1019;рост;global;global;local;Global
1020;рот;local;global;local;Local
1021;роту;local;local;local;Local
1022;руки;local;global;local;Local
1023;руку;local;global;local;Local
1024;ручками;local;local;local;Local
1025;самом;local;local;local;Local
1033;самочувствии;local;global;local;Local
1034;светилками;local;dep;local;Local
1035;светильники;global;local;local;Local
1038;светильники;global;global;local;Global
1039;светильники;local;local;local;Local
1043;свое;local;global;local;Local
1044;своему;local;local;local;Local
1045;своё;local;global;local;Local
1046;сделать;local;local;local;Local
1047;себе;local;local;local;Local
1048;сегодняшнем;local;local;global;Local
1049;сегодняшний;global;global;local;Global
1057;семье;local;global;local;Local
1058;серому;local;global;local;Local
1059;сидел;local;global;local;Local
1060;сидеть;local;local;local;Local
1061;сильно;local;local;local;Local
1062;сильной;local;local;local;Local
1063;сиреневые;local;global;local;Local
1064;сказала;local;dep;local;Local
1065;сказали;local;local;local;Local
1066;скрыться;local;local;local;Local
1067;сложилось;none;local;local;Local
1068;сложно;local;local;local;Local
1069;сложный;local;local;local;Local
1070;сложным;local;dep;local;Local
1071;сломал;local;dep;local;Local
1072;случившегося;local;global;global;Global
1073;случившемся;local;local;global;Local
1074;смелый;local;local;local;Local
1075;смену;local;local;local;Local
1076;соблазнительный;local;local;local;Local
1077;соблазнял;none;global;local;Global
1078;событии;local;local;local;Local
1079;совершить;local;local;local;Local
1080;современном;local;local;local;Local
1081;согибались;local;local;local;Local
1082;согласился;local;local;local;Local
1083;содрогались;local;local;local;Local
1084;сомнений;local;local;local;Local
1085;сомнительным;local;global;local;Local
1086;сопротивлятся;local;dep;local;Local
1087;состоянии;local;global;local;Local
1088;спину;local;global;local;Local
1089;спокойного;local;local;local;Local
1090;спрашивал;local;global;local;Local
1091;спрашивали;local;global;local;Local
1092;спрашивать;local;local;local;Local
1093;спросив;local;local;local;Local
1094;спросил;local;global;local;Local
1095;спросила;local;dep;local;Local
1096;спросили;local;global;local;Local
1097;стал;local;dep;local;Local
1098;старинные;local;global;local;Local
1099;старого;global;global;local;Global
1100;старом;local;global;local;Local
1101;старый;local;local;local;Local
1102;стеклами;local;local;global;Local
1103;стеклянные;global;global;local;Global
1104;стеллажи;local;local;local;Local
1105;стол;local;local;local;Local
1106;столик;local;local;local;Local
1114;столы;local;local;local;Local
1121;столы;global;local;local;Local
1122;стоял;local;local;local;Local
1123;стояли;local;dep;local;Local
1124;стоять;local;local;local;Local
1132;страдает;global;local;local;Local
1133;страдал;local;global;local;Local
1134;страницу;local;local;local;Local
1135;страницуу;local;local;local;Local
1136;странно;local;local;local;Local
1137;странном;local;global;local;Local
1138;странные;local;dep;local;Local
1143;странные;local;global;local;Local
1165;стулья;local;local;local;Local
1167;стулья;local;dep;local;Local
1173;сумасшедший;dep;global;global;Global
1181;сумасшедших;global;global;global;Global
1182;сумашедший;dep;global;global;Global
1183;схватились;local;local;local;Local
1184;схватить;local;local;local;Local
1185;схвачен;global;global;global;Global
1186;схемы;local;global;local;Local
1187;сюда;global;global;global;Global
1188;так;local;local;local;Local
1196;такой;local;local;local;Local
1204;текущий;local;local;local;Local
1205;теле;local;global;local;Local
1206;темному;local;global;local;Local
1207;теперешний;global;global;local;Global
1208;терять;local;local;local;Local
1209;тетрадь;local;local;local;Local
1210;технологии;global;global;global;Global
1211;тихому;local;global;local;Local
1212;то;local;local;local;Local
1213;товарищ;local;local;local;Local
1214;того;local;local;local;Local
1215;том;local;local;local;Local
1216;тот;local;local;local;Local
1217;тощей;local;none;local;Local
1218;тоящем;local;dep;local;Local
1219;третем;local;local;local;Local
1220;трудное;local;dep;local;Local
1221;трудный;local;local;local;Local
1222;трудным;local;local;local;Local
1223;трудных;local;dep;local;Local
1224;тряслись;local;local;local;Local
1225;тугие;local;local;local;Local
1226;туловище;local;global;local;Local
1227;тумбочки;local;local;local;Local
1228;тупым;local;dep;local;Local
1229;тут;local;local;global;Local
1235;тут;local;local;global;Local
1236;тут;local;local;local;Local
1237;тяжелые;global;local;local;Local
1238;удивились;local;global;local;Local
1239;удивлялись;local;global;local;Local
1240;ужасным;local;local;local;Local
1241;узкие;local;local;local;Local
1242;узнавали;local;global;local;Local
1243;узнавать;local;local;local;Local
1244;узнали;local;global;local;Local
1245;узорами;local;local;local;Local
1246;ум;local;local;local;Local
1273;умер;local;global;local;Local
1274;умереть;local;local;local;Local
1275;урганта;local;dep;local;Local
1276;устройства;local;global;local;Local
1277;устройства;local;global;global;Global
1284;уступила;local;global;local;Local
1285;уши;local;global;local;Local
1286;ушлепок;local;dep;local;Local
1287;фонарями;local;local;local;Local
1288;фурье;dep;dep;local;Dep
1289;хворает;local;global;local;Local
1290;холодные;local;local;local;Local
1291;цветные;local;local;local;Local
1292;цифры;local;local;local;Local
1293;цоколями;local;local;global;Local
1294;чайниками;local;local;local;Local
1295;чайники;local;local;local;Local
1296;части;local;local;local;Local
1297;частично;local;local;local;Local
1298;человек;local;local;local;Local
1299;человеком;local;dep;local;Local
1300;черные;local;local;local;Local
1301;чертовы;local;global;local;Local
1302;что;local;dep;local;Local
1304;что;local;local;local;Local
1310;шею;local;global;local;Local
1311;шизофреник;global;global;global;Global
1312;ширму;global;local;local;Local
1313;широкие;local;local;local;Local
1314;широкой;local;none;local;Local
1315;шкаф;global;local;local;Local
1316;шкафики;global;local;global;Global
1317;шкафчик;global;local;local;Local
1318;шли;local;dep;local;Local
1319;шприце;local;global;local;Local
1320;шторку;global;local;local;Local
1321;шуму;local;dep;local;Local
1322;эскулапы;global;local;local;Local
1323;эти;local;local;local;Local
1324;это;local;local;local;Local
1333;юности;local;local;local;Local
1334;ягодицу;local;global;local;Local
1335;языке;local;none;local;Local
